Question,A,B,C,D
Đâu không phải một ứng dụng của Image segmentation được đề cập trong tài liệu?,Xe tự hành,Chẩn đoán hình ảnh,Nhận diện chó mèo,Quản lý ra vào ở bãi đỗ xe
Mạng U-Net có mấy phần chính?,Ba,Hai,Bốn,Một
Có bao nhiêu loại bài toán segmentation và đó là những loại nào?,Hai. Meaning segmentation và object segmentation,"Ba. Semantic segmentation, syntax segmentation và instance segmentation",Hai. Semantic segmentation và instance segmentation,Hai. Subjective segmentation và objective segmentation
Nhận định nào dưới đây không chính xác với mạng U-Net trong bài toán Image segmentation?,Loss function là MSE để tính toán khoảng cách giữa hai ảnh,Có cơ chế kết nối các lớp có cùng kích thước để tránh gradient vanishing,Mục đích của decoder là để khôi phục kích thước gốc của ảnh,Hàm pooling được sử dụng chủ yếu là max pooling
"Xác định padding (p) và stride (s) khi tiến hành transposed convolution với input 4x4, kernel 3x3 để cho ra output 9x9","p = 0, s = 1","p = 1, s = 2","p = 0, s = 2","p = 1, s = 1"
"Trong ví dụ ở đầu tài liệu, đâu không phải là một mô tả ảnh được giới thiệu?","""Người đàn ông áo đen chơi guitar""","""Công nhân xây dựng mặc áo bảo hộ cam đang làm việc trên đường""","""Hai bé gái đang chơi đồ chơi""","""Một người đàn ông mặc vest dùng máy tính"""
Mô hình skip-gram ban đầu có bao nhiêu lớp ẩn (hidden layer)?,Một,Hai,Bốn,Năm
Co-occurrence matrix có tính chất đối xứng gì và kích thước của ma trận này là bao nhiêu (với V là kích thước từ điển)?,Đối xứng chéo. 2V x V,Đối xứng dọc. V x V,Đối xứng chéo. V x V,Đối xứng dọc. 2V x V
Khẳng định nào dưới đây không đúng với bối cảnh bài toán?,Hướng giải quyết là sử dụng mô hình thời gian để dự hoàn thiện mô tả ảnh,Phương pháp one-hot encoding cho word embedding vẫn còn hiệu quả,Bước text preprocessing sẽ thay chữ in hoa bằng chữ in thường,Loss function là categorical cross-entropy
Vector nào sau đây không thuộc về one-hot encoding?,"[0, 0, 1, 0]","[1, 0, 1, 1]","[1, 0, 0, 0]","[0, 1, 0, 0]"
Đâu không phải một dạng RNN?,One to one,Two to one,Many to one,Many to many
Sinh mô tả ảnh thuộc vào dạng RNN nào?,One to many,Many to many,Many to one,One to one
Câu output của seq2seq sẽ có thêm mấy token và đó là những token nào?,"Ba. <START>, <END> và <SEQ>","Bốn. <START>, <END>, <START_PARA> và <END_PARA>",Một. <START>,"Hai. <START>, <END>"
"Trong bối cảnh dịch máy, đâu là cách hiểu ""sản phẩm trung gian"" phù hợp với seq2seq?",Đặc trưng của những từ gần cuối câu,Tổng hợp tần suất các từ trong câu input,Tổng trọng số các embedding của từ trong câu input,Ngữ nghĩa của câu đầu vào
Khẳng định nào dưới đây là đúng với cơ chế attention?,"Không có attention, mô hình vẫn nhớ được đầy đủ thông tin được đưa vào ban đầu",Attention sử dụng ánh xạ key-value làm cơ sở duy nhất để hoạt động,Attention giúp hình dung tốt hơn cách hoạt động của mô hình,Có duy nhất một hàm để tính attention score
Đâu không phải là một ứng dụng của GAN được nêu trong phần đầu tiên của văn bản Public039?,Tăng độ phân giải ảnh,"""Dịch ảnh"" (image-to-image translation)",Chỉnh sửa ảnh mặt người,Sinh mô tả ảnh
GAN là viết tắt của?,Generative Adversarial Network,Graphic Adversarial Network,Graphic Artificial Network,Generative Artifical Network
"GAN gồm bao nhiêu thành phần mạng và tên gọi của chúng, theo đúng thuật ngữ, là?",Hai. Generator và Judge,"Ba. Generator, Audience và Critic",Hai. Generator và Discriminator,Một. Artist
Tóm tắt cách hoạt động của GAN?,"Generator sẽ sinh ảnh, Discriminator sẽ chấm điểm bức ảnh dựa trên kho ảnh.","Generator sẽ sinh ảnh giả, Discriminator sẽ chọn ra ảnh thật giữa ảnh giả và một ảnh thật (nhưng không biết là thật). Hai mô hình sẽ đối đầu nhau","Generator sẽ sinh ảnh, Discriminator cũng sinh ảnh. Hệ thống chọn một bức ảnh giống với chúng và trả về để hai mô hình cả thiện","Generator sẽ sinh ảnh, Discriminator sẽ quyết định cách cập nhật Generator"
Đâu là một ví dụ được coi là tương đồng với cách thức huấn luyện của GAN?,Huấn luyện chơi cờ,Giải một mê cung,Thí nghiệm của Pavlov,
Khác biệt về kiến trúc của DCGAN và GAN?,DCGAN ít lớp ẩn hơn GAN,"DCGAN sử dụng mạng tích chập, GAN sử dụng mạng neural thường",DCGAN thay đổi mục tiêu của Discriminator và Generator trong GAN,Không có khác biệt
Input của Generator là?,Vector không,Vector một,Vector ngẫu nhiên,Tensor 3 kênh
Output tương ứng với CIFAR-10 và Fashion-MNIST là?,32 x 32 x 3 và 28 x 28 x 1,32 x 32 x 1 và 28 x 28 x 3,28 x 28 x 1 và 32 x 32 x 3,28 x 28 x 3 và 32 x 32 x 1
Điểm chung giữa DCGAN và Conditional GAN là?,Đều sử dụng mạng tích chập,Đều có hai mạng Generator và Discriminator,Vai trò của Generator và Discriminator là như nhau ở cả hai hệ thống,Tất cả các khẳng định đã nêu
"Đâu là yếu tố tạo nên ""Conditional"" trong Conditional GAN?","Generator sinh ảnh nửa chừng rồi đi qua một kiểm tra điều kiện, nếu không đạt thì thay đổi ảnh",Generator sẽ nhận vào điều kiện của ảnh và phải sinh ảnh khớp với điều kiện,Discriminator chỉ phân biệt ảnh theo các điều kiện nhất định,"Discriminator được biết điều kiện của ảnh, sẽ đánh giá ảnh của Generator theo điều kiện đó"
Logistic regression có đầu ra là gì?,Giá trị thực,Giá trị nhị phân,Giá trị nguyên dương,Giá trị phức
Đâu là công thức của sigmoid?,1/exp(-z),exp(z),1/(1 + exp(-z)),1 - 1/(1 + exp(z))
Loss function biến thiên ra sao khi output y_i lần lượt là 1 và 0?,Đều đơn điệu giảm,Đều đơn điệu tăng,Đơn điệu tăng và đơn điệu giảm,Đơn điệu giảm và đơn điệu tăng
Điểm giống nhau cơ bản của logistic regression và linear regression là gì,Đưa ra kết quả dựa trên tổ hợp tuyến tính các đặc trưng đầu vào,Dự đoán bằng tổng trọng số các đặc trưng đầu vào,Sử dụng chung một loss function,Đều bắt buộc phải giải bằng gradient descent
"Theo nguyên lý xác suất đã nêu, đâu không phải là một khẳng định hợp lý?",Sự kiện có 70% xác suất sẽ chắc chắn hơn sự kiện có 50% xác suất,"Tổng xác suất của sự kiện ""tôi là nam"" và ""tôi là nữ"" là 100%",Xác suất tôi đi về sẽ gặp trời mưa là 150%,"Với một đồng xu cân đối đồng chất, xác suất ra mặt ngửa và mặt sấp là như nhau"
Mô hình neural network lấy cảm hứng từ?,Cơ chế thụ cảm của con người,Hoạt động của nơ-ron trong hệ thần kinh,Khả năng tư duy của con người,Khả năng điều khiển cơ thể của các loài động vật
"Neural network bắt chước toàn bộ cơ chế hoạt động của hệ thần kinh, đúng hay sai?",Sai,Đúng,,
Ký hiệu phổ biến cho số đặc trưng trong một điểm dữ liệu và số điểm dữ liệu lần lượt là?,N và M,N và D,D và M,D và N
Bài toán về toán tử bit nào là minh chứng cho việc cần xây dựng nhiều hơn một lớp ẩn?,AND,OR,XOR,NOT
Vì sao lại nên dùng hàm kích hoạt phi tuyến (non-linear activation)?,"Vì nếu mô hình phức tạp hơn, kết quả chắc chắn sẽ tốt hơn",Vì tổ hợp của các lớp ẩn và hàm kích hoạt tuyến tính tương đương một lớp tuyến tính,"Vì đây là xu hướng, thói quen của cộng đồng",Vì nó hiệu quả trên thực tế dù chưa có lời giải thích xác đáng
Hệ màu RGB biểu diễn tất cả các màu khả kiến dưới dạng tổ hợp của ba màu gì?,"Đỏ, xanh lục, xanh lam","Đỏ, vàng, xanh lam","Xanh lục, cam, tím","Vàng, xanh biển, tím đỏ"
Tensor được chuyên dùng để mô tả dữ liệu theo mấy chiều,Một,Hai,Nhiều hơn hai,
Một pixel của ảnh xám có thể nhận giá trị tối thiểu và tối đa lần lượt là?,0 và 127,-127 và 127,0 và 255,0 và 1048576
Phép tích chập (convolution) gồm ba yếu tố chính là kernel và hai thành phần nào?,Strike và patting,Stride và padding,Strike và padding,Stride và patting
"Đâu là giá trị của pixel ảnh xám ứng với pixel ảnh RGB (100, 10, 1)? Biết rằng công thức quy đổi là p = 0.299 * r + 0.587 * g + 0.114 * b (kết quả làm tròn tới hàng đơn vị)",36,35,37,34
Đâu là vấn đề mà CNN giải quyết tốt hơn so với thiết kế mạng truyền thống?,Lưu trữ tham số,Xử lý dữ liệu hai chiều,Thời gian tính toán,Cả ba vấn đề đã nêu
Pooling layer được thiết kế để?,"Giảm kích thước dữ liệu, bất luận mất mát thông tin",Giảm chiều nhưng vẫn giữ lại thông tin,Tăng kích thước dữ liệu,Sinh ra giá trị trung gian dựa trên một vùng của dữ liệu
Pooling layer của VGG16 có kích thước ra sao và hàm pool là?,"2 x 2, avg","3 x 3, max","2 x 2, max","3 x 3, avg"
Tổng quát một CNN sẽ gồm hai phần chính nào sau đây?,Các lớp tích chập và các lớp truyền thống,Các kernel tích chập và hàm pool,Các lớp tích chập giảm kích thước và các lớp tích chập tăng kích thước,Các thông số padding và stride
"Kết quả average pooling của hình vuông gồm 4 giá trị 15, 20, 30, 45 là?",30,27.5,25,32.5
Điểm chung của Transfer learning và data augmentation là gì,Tận dụng mô hình có sẵn,Áp dụng cho tình trạng khan hiếm dữ liệu,Chi phí đắt đỏ,"Không có điểm chung, là hai phương án độc lập rời rạc"
Đâu không phải là một hình thức data augmentation cho ảnh?,Cắt và phóng to (crop and resize),Lật ảnh (flip),Xoay ảnh (rotate),Chuyển ảnh xám
"Khi tiến hành phân lớp với nhiều hơn hai lớp, có bao nhiêu chiến lược tiếp cận? Hình thức của chúng là?",Hai. Một model phân M lớp và M model phân biệt từng lớp,Một. Một model phân M lớp,Một. M model phân biệt từng lớp,Không thể tiến hành
"Trường hợp nào sau đây được đề xuất sử dụng Finetuning hơn là Feature extractor?
I. Dữ liệu lớn, khác dữ liệu pretrain
II. Dữ liệu nhỏ, khác dữ liệu pretrain
III. Dữ liệu nhỏ, giống dữ liệu pretrain
IV. Dữ liệu lớn, giống dữ liệu pretrain",I,II và III,I và IV,IV
Đâu không phải là khẳng định đúng giữa Finetuning và Feature extractor,Finetuning hiệu quả thấp hơn feature extractor,Finetuning chỉ phù hợp khi có bộ dữ liệu đủ lớn,Feature extractor phù hợp khi dữ liệu thích nghi tương đối giống với dữ liệu của mô hình pretrained,Finetuning cần nhiều tài nguyên để tiến hành hơn so với feature extractor
Lợi ích chính của vectorization là gì,Tiết kiệm thời gian,Tiết kiệm bộ nhớ,Giảm overfitting,Giảm underfitting
Giá trị p trong dropout thể hiện điều gì?,Tỉ lệ giữ node của layer,Xác suất giữ một layer,Tỉ lệ bỏ node của layer,Xác suất bỏ một layer
Khái niệm tiếng Việt cho bias và variance là gì?,"Phương sai, độ lệch chuẩn","Độ lệch, độ lệch chuẩn","Độ lệch, phương sai","Độ lệch chuẩn, phương sai"
Đâu là mục tiêu chính của các phương pháp trong tài liệu Public046?,Tăng thời gian chạy,Tránh các hiện tượng như overfitting và underfitting,Tăng khả năng khái quát hóa của mô hình,Cả ba mục tiêu
Một thuật toán gradient descent lấy ra 32 dữ liệu điểm mỗi lần tính đạo hàm thì thuộc loại gradient descent nào?,Batch GD,Mini-batch GD,Stochastic GD,Không phải loại GD nào nêu trên
Input của bài toán object detection là?,Âm thanh,Hình ảnh,Văn bản,Hỗn hợp
Vấn đề chính của R-CNN là?,Thời gian infer lâu,Thời gian train lâu,Cả hai vấn đề đã nêu,Không phải hai vấn đề đã nêu
IoU phụ thuộc vào hai toán tử tập hợp nào và công thức là gì?,Intersection và Union. I/U,Intersection và Negation. I/(I + N),Negation và Union. (U + N)/N,Intersection và Union. U/(U + I)
Cốt lõi của các cách tiếp cận bài toán object detection là?,Hồi quy,Region proposal,Phân cụm,Phân lớp
ROI pooling với ảnh 10 x 10 và output 4 x 4 sẽ chia ảnh gốc thành mấy phân vùng,1,2,3,4
Bộ dữ liệu được sử dụng có bao nhiêu ảnh?,1750,1024,2048,3500
Mô hình được sử dụng để huấn luyện là?,YOLOv5,YOLOv4,YOLO-TinyV5,YOLO-Tinyv4
Có bao nhiêu phương pháp đã được dùng để tăng cường dữ liệu và gồm những thao tác nào?,"Hai. Thu nhỏ, phóng to","Ba. Thu phóng, tăng sáng, xoay","Hai. Thêm nhiễu, tăng sáng",Một. Lật
Cách tiếp cận đã nêu trong bài có tiến hành đọc biển số hay không?,Không,Có,,
Phân lớp của bài toán này là?,Image segmentation,Object segmentation,Object detection,Image classification
Khái niệm được dùng để đại diện tập xác định của một biến là?,Kiểu dữ liệu,Tên dữ liệu,Loại dữ liệu,Lớp dữ liệu
Thành phần nào sau đây không thuộc phạm vi quản lý của biến?,Kiểu dữ liệu,Tên biến,Giá trị biến,Địa chỉ lưu biến
Tên kiểu dữ liệu của ký tự ASCII và ký tự Unicode lần lượt là?,char và wchar,char_t và wchar_t,char và wchar_t,char_t và wchar
Đâu không phải khẳng định đúng về thuật toán?,"Thuật toán phải rõ ràng, không nhập nhằng",Thuật toán không được chạy vô hạn,"Thuật toán phải được thiết kế đặc thù, chuyên sâu thay vì tổng quát","Thuật toán nên dễ hiểu, dễ cài đặt"
Phương trình toán học 3x + 4y + 5z = 6 có mấy biến?,Ba,Hai,Một,Bốn
"Điền vào chỗ trống: nếu hàm số f(x) bị ... bởi hằng số C nhân với g(x), ta nói f(x) có độ phức tạp O(g(x))",Chặn dưới ,Chặn trên,Chặn trên và dưới,Lớn hơn
"Theo nguyên tắc tổng, f1(x) + f2(x) có độ phức tạp là?","O(max(g1(x), g2(x))","O(min(g1(x), g2(x))",O(g1(x) + g2(x)),O(|g1(x) - g2(x)|)
Độ phức tạp tuyến tính và giai thừa lần lượt có ký hiệu là?,O(1) và O(n),O(logn) và O(n!),O(n) và O(n!),O(1) và O(logn)
Bước đầu tiên của mỗi quá trình tiếp cận bài toán là?,Tìm cấu trúc dữ liệu phù hợp,Lựa chọn thuật toán,Xác định yêu cầu bài toán ,Xác định ngôn ngữ và trình dịch
Hai thuật toán được tiến hành kế tiếp nhau lần lượt có độ phức tạp O(n) và O(n^2). Độ phức tạp của chương trình là?,O(n),O(n^2),O(n^2 + n),O(n x n^2)
"Trong bốn khái niệm dưới, khái niệm nào không thuộc về thuật toán sinh?",Cấu hình khởi đầu,Cấu hình kết thúc,Thuật toán chuyển cấu hình tất định,Cấu hình tối ưu
Nội dung của chương không bao gồm bài toán nào?,Bài toán liệt kê,Bài toán đếm,Bài toán tồn tại,Bài toán đặc thù
Số hoán vị của một bộ độ dài N là bao nhiêu và giá trị tương ứng khi N = 3 là?,"N!, 6","N^N, 27","N^2, 9","N, 3"
Đâu là cốt lõi của thuật toán đệ quy?,Bài toán lớn được chia thành các bài toán nhỏ lồng nhau,Bài toán lớn có lời giải đóng,Bài toán lớn được chia thành các bài toán nhỏ có cùng dạng,Bài toán không thể giải trong thời gian đa thức
"Bài toán liệt kê xâu nhị phân độ dài 6 phải trải qua bao nhiêu cấu hình, nếu biết số cấu hình cho độ dài n là 2^n?",2^5,2^6,2^7,2^12
Đâu không phải một ví dụ duyệt được thực hiện bởi quay lui?,Duyệt xâu nhị phân,Duyệt tập con,Duyệt hoán vị,Duyệt từ đầu đến cuối mảng
"Trong bài toán N quân hậu, quân hậu ở hàng thứ i phải thỏa mãn điều gì?",Không trùng cột với các quân hậu còn lại,Không cùng đường chéo xuôi với các quân hậu còn lại,Không cùng đường chéo ngược với các quân hậu còn lại,Cả ba tiêu chí trên
Thủ tục tiền xử lý và thủ tục chạy quay lui được gọi trong main() lần lượt là?,Prep() và Run(1),Init() và Run(1),Init() và Try(1),Prep() và Try(1)
"Đâu không phải một bước trong quay lui?
1. Duyệt một phần các khả năng của biến
2. Đặt biến là một giá trị hợp lệ
3. Di chuyển đến biến tiếp theo nếu còn",Bước 1,Bước 2,Bước 3,Bước 1 và 3
Nếu duyệt mọi tập con K phần tử có thể thực hiện bằng quay lui thì ta có thể dùng quay lui để duyệt một số tập con K phần tử hay không?,Không,Có,Tùy tình huống,
"Điều kiện của ""sắp xếp"" là?",Trật tự của đối tượng,Đối tượng phải là số,Số lượng đối tượng nhỏ,Cấu hình máy mạnh
"Có thể nói, ""sắp xếp là sân sau của quá trình tìm kiếm"" hay không?",Không,Có,,
Cho biết số lượng thuật toán sắp xếp đơn giản được trình bày và tên của chúng?,"Ba. Selection sort, insertion sort, bubble sort","Hai. Quick sort, merge sort","Hai. Selection sort, insertion sort","Ba. Insertion sort, bubble sort, radix sort"
Độ phức tạp nhỏ nhất của Insertion Sort là?,O(N^2),O(N),O(NlogN),O(sqrt(N))
Vì sao Selection Sort có độ phức tạp O(N^2),Vì thuật toán chạy nhiều hơn một vòng for,Vì thuật toán chạy hai vòng for lồng nhau,Vì thuật toán có hai vòng for tuyến tính lồng nhau,Vì người đề xuất phát biểu vậy
Hành động chính của Bubble Sort là?,Tráo đổi đầu và cuối,Tráo đổi hai phần tử kề nhau,Tráo đổi từ giữa mảng ra,Tráo đổi min và max
Đâu không phải một cách chọn khóa (pivot) điển hình trong Quick Sort,Dùng phần tử đầu,Dùng phần tử thứ ba,Dùng phần tử giữa,Dùng phần tử cuối
"Trong heap, chỉ số node con trái và phải của node x lần lượt là? (node gốc có chỉ số 0)","2i, 2i + 1","2i, 2i + 2","2i + 1, 2i + 2","2i, 3i"
Đâu là cấu trúc heap ta nên dùng nếu muốn sắp xếp mảng giảm dần?,Min-heap,Max-heap,Avg-heap,Mean-heap
Đâu là điểm chung giữa Merge Sort và Quick Sort? Chọn một đáp án,Độ phức tạp trung bình O(N^2),"Ở mỗi bước chia nhỏ, luôn đảm bảo hai mảng con cùng độ dài",Sử dụng tư tưởng chia để trị,Đều là các thuật toán sắp xếp ổn định (bảo toàn thứ tự xuất hiện các phần tử bằng nhau)
Đâu không phải thuật toán tìm kiếm được nêu trong tài liệu Public055?,Tìm kiếm tuyến tính,Tìm kiếm nhị phân,Tìm kiếm heurestic,Tìm kiếm nội suy
Thuật toán đơn giản nhất trong bốn thuật toán được nêu là?,Tìm kiếm nhị phân,Tìm kiếm nội suy,Tìm kiếm Jumping,Tìm kiếm tuyến tính
Kết quả trả về của tìm kiếm khi thấy và không thấy lần lượt là?,1 và 0,1 và -1,Chỉ số phần tử cần tìm và -1,Chỉ số phần tử cần tìm và 0
Nhận định nào sau đây không đúng,Tìm kiếm Jumping rồi sẽ quay về tìm kiếm tuyến tính ở một bước nào đó,Tìm kiếm nội suy không hề giống tìm kiếm nhị phân,Tìm kiếm nhị phân tiến hành giảm kích thước khoảng đang tìm đi một nửa sau mỗi bước,Tìm kiếm tuyến tính là thuật toán tổng quát nhất
"Biết tìm kiếm nhị phân luôn hoàn thành trong logN bước, cho biết mảng đã sắp xếp gồm 2^8 phần tử sẽ cần bao nhiêu bước?",8,7,9,6
Đâu không phải thao tác phổ biến trên linked list?,Đảo node,Duyệt node,Nhân đôi node,Loại node
Một node của linked list có mấy trường?,Hai,Ba,Bốn,Một
Tên của thao tác cập nhật node và tìm node lần lượt là?,Find và update,Search và display,Find và display,Search và update
Đâu không phải là đặc điểm của linked list?,"Tại một phần tử, có thể chuyển đến phần tử trước nó",Một phần tử có hai trường: thông tin và con trỏ đến phần tử kế tiếp,Giải quyết bất cập về việc cấp phát bộ nhớ của mảng (array),Là một kiểu dữ liệu trừu tượng (ADT - abstract data type)
"Muốn cập nhật trong linked list phần tử thứ 5 với giá trị 7, ta cần nhập vào khi gọi update() thứ tự giá trị nào cho pos và val?",4 7,5 7,7 5,7 4
Đâu không phải một loại đồ thị trong phân loại cấp dưới?,Đơn đồ thị,Đa đồ thị,Lưỡng đồ thị,Giả đồ thị (pseudograph)
Đồ thị được tạo thành bằng cách bổ sung một đỉnh nối với mọi đỉnh của đồ thị C_n được ký hiệu là?,W_n,K_n,S_n,C'_n
Tên gọi riêng cho đỉnh bậc 0 và đỉnh bậc 1 trong đồ thị vô hướng là?,"Đỉnh cô đơn, đỉnh lẻ","Đỉnh cô lập, đỉnh treo","Đỉnh cô đơn, đỉnh treo","Đỉnh cô lập, đỉnh lẻ"
Đâu không phải tên của một cách biểu diễn đồ thị?,Ma trận kề,Danh sách đỉnh,Danh sách cạnh,Danh sách kề
Đồ thị bánh xe là đồ thị tròn Cn được thêm vào n cạnh. Vậy số cạnh của đồ thị bánh xe là?,2n - 1,n^2,2n,n^2 + 1
Đâu là một tên gọi khác của kiểm thử chức năng?,Kiểm thử hộp màu,Kiểm thử hộp đen,Kiểm thử hộp trắng,Kiểm thử hộp xám
Tập S biểu diễn hành vi như thế nào?,Được nêu trong đặc tả,Được bao hàm trong mã nguồn,Được đem ra kiểm nghiệm,Mọi hành vi có thể
"Các hành vi ""được đặc tả"" và ""được kiểm thử"" được định nghĩa thuộc tập nào?",T và T,P và S,T và P,S và T
"So sánh kiểm thử hộp trắng và kiểm thử hộp đen, phương pháp nào ưu việt hơn?",Kiểm thử hộp trắng,Kiểm thử hộp đen,Không phương pháp nào ưu việt hơn,
"Theo mô hình biểu đồ Venn, thiết kế kiểm chứng nên rơi vào miền nào nhiều nhất?",Miền 1,Miền 4,Miền 3,Miền 7
Kiểm thử tích hợp tập trung vào vấn đề gì?,Hoạt động của một module,Hoạt động tương hỗ giữa các module,Hoạt động theo đặc tả,Hoạt động theo yêu cầu người dùng
Đâu không phải là một hình thức giao diện giữa nhiều module?,Module A gọi hàm ở module B,Module A nằm trong module B,Module A gửi thông tin cho module B,Module A dùng chung bộ nhớ với module B
"Ngoài hai cách ghép module thông dụng là top down, bottom up thì còn mấy phương pháp và tên của chúng là?","Ba. Leftward, upward, waterfall",Một. Bigbang,"Hai. Bigbang, sandwich",Không còn phương pháp nào
Nội dung nào không được đề cập?,Khái niệm kiểm thử tích hợp,Hình thức kiểm thử tích hợp theo cấu trúc module,Các loại giao diện giữa các module,So sánh kiểm thử tích hợp với kiểm thử hồi quy
"Đoạn code ngắn sau thể hiện loại giao diện nào?
float pi() { return 3.14; } void main() { std::cout << pi(); }",Procedure call,Shared memory,Message passing,Inheritance
Toàn bộ chương sẽ đi qua bao nhiêu ví dụ?,Một,Hai,Ba,Bốn
"Có tất cả bao nhiêu cách để đi đến nút ""Not A Triangle"" trong bài toán Tam giác, theo tài liệu?",Bảy,Sáu,Năm,Tám
Phân bố loại đối tượng nào là một vấn đề của bài toán Ngày kế tiếp; việc xác định đối tượng này có phụ thuộc vào đối tượng khác không?,Ngày 31. Có,Tháng nhuận âm lịch. Có,Năm nhuận. Không,Ngày 30. Không
Đâu không phải một yếu tố khiến bài toán Tam giác phổ biến?,"Hệ thống đặc tả đầy đủ đơn giản, dễ liệt kê",Hàm ý yêu cầu nghiêm ngặt về bảo toàn đặc tả,"Hàm ý người kiểm thử cần đặt ra những trường hợp ""không tầm thường"" (ví dụ input không hợp lệ phải trả về kết quả gì)","Cài đặt dài dòng, rất nhiều if else"
"Output của bài toán tam giác với bộ ba số (3, 4, 5) là?",Equilateral,Isosceles,Scalene,Not A Triangle
